poi_id,category,name_ko,lat,lon,address_ko,website,phone,open_hours_text,closed_days_text,ticket_price_text,rag_seed_text_ko,source_urls,source_updated_at
KOP002082,미술관&박물관,가나아트센터,37.612309888,126.975130253,03004 서울 종로구 평창30길 28 (가나아트센타),http://www.ganaart.com,02-720-1020,10:00 - 19:00,월요일,3000원,"전시, 공연, 아카데미, 옥션이 함께하는 가나아트센터는 세계적인 건축가 장 미셸 빌모트(Jean Michel Wilmotte)가 설계한 850평 규모의 복합문화 공간입니다. 미술관 순회 버스를 이용하면 쉽게 방문할 수 있습니다. 순회 버스는 월요일과 명절을 제외하고 연중무휴입니다.",https://korean.visitseoul.net/attractions/%EA%B0%80%EB%82%98%EC%95%84%ED%8A%B8%EC%84%BC%ED%84%B0/KOP002082,2025.07.19
KOP018912,미술관&박물관,가회민화박물관,37.581539738,126.985262569,03056 서울 종로구 북촌로 52 (가회동) 가회민화박물관,http://www.gahoemuseum.org/new/,02-741-0466,10:00 ~ 18:00 * 관람 시 종료 40분 전까지 입장 * 체험 시 종료 1시간 전까지 입장,월요일,"□개인 일반(대학생 포함) 5,000원 학생(고등학생 이하) 5,000원 *단체예약 안내 5인 이상의 단체의 경우 예약필수입니다. 20인 이상의 단체 예약 시 10%의 예약금이 있습니다.","가회민화박물관의 전시관 사진입니다. 전시관 벽면에 민화와 서예 작품들이 전시되어 있습니다. 가회 민화박물관은 민화 전문 박물관으로 윤열수 관장이 개인적으로 꾸준히 수집해 온 민화와 부적관계 자료 등을 일반인들에게 공개하고 보존하기 위해 설립되었습니다. 약 2,000여 점의 민화와 민속품 등이 전시되어 있습니다. 또한, 강사의 지도로 다양한 민화를 그리는 체험을 해볼 수 있습니다.",https://korean.visitseoul.net/attractions/%EA%B0%80%ED%9A%8C%EB%AF%BC%ED%99%94%EB%B0%95%EB%AC%BC%EA%B4%80/KOP018912,2025.07.24
KOP001871,미술관&박물관,갤러리 학고재,37.580299207,126.980268998,03053 서울특별시 종로구 삼청로 50 (소격동),http://www.hakgojae.com,02-720-1524,10:00~18:00,월요일,,"갤러리 학고재의 본관 건물은 전통 한옥으로, 신관 건물은 21세기 건축 양식으로 만들어져 개성 있게 조화를 이루고 있습니다. 중국 상하이 예술 특구 모간산(莫干山)루에도 지점이 있습니다.",https://korean.visitseoul.net/attractions/%EA%B0%A4%EB%9F%AC%EB%A6%AC-%ED%95%99%EA%B3%A0%EC%9E%AC/KOP001871,2025.06.16
KOP001694,미술관&박물관,갤러리 현대,37.577138548,126.979818879,"03062 서울 종로구 삼청로 14 (사간동, 현대갤러리)",http://www.galleryhyundai.com/,02-2287-3500,10:00~18:00,월요일,,"갤러리 현대는 사간동 갤러리 거리에서 가장 유명합니다. 박수근, 이중섭 등 한국 근현대 미술을 대표하는 작가들의 전시뿐 아니라 세계적인 작가들의 작품이 전시되어 있습니다. 전통 한옥 레스토랑인 두가헌과 함께 어우러져 미술과 와인의 조화를 느낄 수 있는 공간입니다. 신관 뒷마당에 위치한 두가헌갤러리는 근대에 지은 러시아식 적벽돌 건축물로 두가헌레스토랑과 함께 운영되는데 한옥식 레스토랑과 근대 서양 건축이 짝을 이뤄 독특한 볼거리를 선사한다. 그 이름처럼‘매우 아름다운 집´ 에서 과거와 현재가 공존하는 특별한 추억을 만들어보는 건 어떨까요?",https://korean.visitseoul.net/attractions/%EA%B0%A4%EB%9F%AC%EB%A6%AC-%ED%98%84%EB%8C%80/KOP001694,2025.07.22
KOP001961,미술관&박물관,겸재정선미술관,37.572228067,126.838412724,"07522 서울 강서구 양천로47길 36 (가양동, 겸재정선미술관)",https://culture.gangseo.seoul.kr/gsfc/main/contents.do?menuNo=800054,02-2659-2206,화요일~금요일 10:00 ~ 18:00 토요일~일요일 10:00 ~ 17:00,"- 설, 추석의 전, 후일(명절 당일은 휴관) -어린이날, 삼일절, 광복절, 개천절, 한글날","- 어른 : 1000원 - 청소년 및 군경 : 500원 - 7세 이하, 65세 이상, 국가유공자, 독립유공자 및 그 유족 또는 가족, 장애인과 그와 동행하는 보호자 1인, 다둥이 행복 카드 소지자(등재된 가족 포함) : 무료","겸재정선미술관은 서울 강서구 양천로에 위치해 있으며 지하 1층, 지상 3층으로 이루어져 있습니다. 기획전시실을 갖추고 있어 여러 작가의 전시가 가능합니다. 2층에는 정선의 생애 및 작품에 관한 기념관이 있으며 다목적실은 영상 시청, 강의 및 세미나 등 다양한 용도로 사용 가능합니다.",https://korean.visitseoul.net/attractions/%EA%B2%B8%EC%9E%AC%EC%A0%95%EC%84%A0%EB%AF%B8%EC%88%A0%EA%B4%80/KOP001961,2025.07.20
KOP000072,고궁,경복궁,37.577244461,126.976289443,"03045 서울 종로구 사직로 161 (세종로, 경복궁)",https://royal.cha.go.kr/ROYAL/contents/menuInfo-gbg.do?grpCode=gbg,02-3700-3900,1월 ~ 2월 : 09:00~17:00(입장마감 16:00) 3월 ~ 5월 : 09:00~18:00(입장마감 17:00) 6월 ~ 8월 : 09:00~18:30(입장마감 17:30) 9월 ~ 10월 : 09:00~18:00(입장마감 17:00) 11월 ~ 12월 : 09:00~17:00(입장마감 16:00) ※ 기관 사정에 따라 관람시간 단축 및 조정이 있을 수 있습니다.,화요일,"대인, 외국인 대인 : 3,000원 외국인 소인 : 1,500원 만 24세 이하, 만 65세 이상, 장애인, 유공자 무료 ※ 단체 가격 및 상세 할인혜택은 공식 홈페이지를 참고해주세요.","경복궁은 조선 시대에 지어진 왕궁 중 가장 큰 궁궐이었습니다. 조선 왕조 개국 3년인 1395년에 창건된 궁궐은 390여 칸으로 한양의 중심축에 자리했습니다. 개국공신 정도전은 태조로부터 첫 번째 궁궐의 이름을 지으라는 명을 받았고, 고심 끝에 '새 왕조가 큰 복을 누려 번영할 것'이라는 의미로 경복궁(景福宮)이라는 이름을 붙였습니다. 조선 왕조의 궁궐 중 경복궁은 경희궁, 덕수궁, 창경궁, 창덕궁 중 가장 큰 궁궐로 조선 왕조의 주요 궁궐로서 핵심적인 역할을 했습니다. 국보 제223호인 근정전(勤政殿)은 경복궁의 법전으로 각종 즉위식을 거행했던 왕실의 행사장이었습니다. 근정전의 옆에 위치한 경회루는 1983년 발행된 5천 원권 구화폐에 등장할 정도로 대표적인 건축물로 사랑받아 왔습니다. 한국은 미래 세대를 위해 궁궐의 재건, 복원, 유지를 위해 많은 시간과 노력을 투자해 왔습니다. 이외에도 일제강점기에 훼손을 겪었다가 2010년에 복원된 광화문, 고종과 명성황후가 머물던 건천궁 등이 자리하고 있습니다. 경복궁을 방문할 때 국립 고궁 박물관과 국립 민속 박물관 또한 함께 방문하기 좋습니다. 경복궁은 조선 왕조 최고의 궁궐인 만큼 생각보다 넓고 동선을 자유롭게 조정할 수 있습니다. 다만 좀 더 자세한 관람을 원한다면 우리궁궐지킴이 해설사들의 설명과 함께하는 것이 가장 좋습니다. 경복궁과 서촌 지역 방문 관람객의 편의를 높이고 경제 활성화를 위한 경복궁의 서문 영추문이 2018년 12월부터 전면 개방되었습니다. 경복궁 출입문은 이전까지 남쪽의 광화문, 북쪽의 신무문, 동쪽의 국립민속박물관 출입문 등 총 세 곳으로 이번에 서쪽의 영추문을 43년 만에 개방하면서 동·서·남·북 모든 곳에서 출입이 가능해졌습니다.",https://korean.visitseoul.net/attractions/%EA%B2%BD%EB%B3%B5%EA%B6%81/KOP000072,2025.07.25
KOP002011,미술관&박물관,경인미술관,37.574591041,126.985723771,03146 서울 종로구 인사동10길 11-4,http://www.kyunginart.co.kr/,02-733-4448,10:00~18:00,"신정, 구정, 추석 휴관",무료,"1983년, 경인 이금홍 선생이 설립한 경인미술관은 예술인의 문화 공간일 뿐만 아니라 관광명소로도 널리 알려진 곳입니다. 미술관이란 어느 특정인의 공간이 아닌 남녀노소 누구나 친근하게 접할 수 있는 장소임을 보여주고자 하는 설립자의 의지가 담겨 있습니다. 내부는 아틀리에를 포함하여 총 6개의 전시관과 야외정원, 전통다원으로 구성되어 있으며, 봄가을에는 야외정원에서 콘서트가 열립니다.",https://korean.visitseoul.net/attractions/%EA%B2%BD%EC%9D%B8%EB%AF%B8%EC%88%A0%EA%B4%80/KOP002011,2025.07.14
KOP020549,미술관&박물관,경찰박물관,37.572053732,126.962191083,03166 서울 종로구 송월길 162,https://www.policemuseum.go.kr	,02-3150-3681,09:30 ~ 17:30,"월요일(공휴일인 경우 그 다음날), 1월 1일, 설.추석 연휴",무료,"2005년 개관한 경찰박물관은 경찰의 역사를 보존하고 경찰의 활동을 직접 체험해 볼 수 있는 공간으로 국민의 경찰에 대한 이해를 넓히고 어린이들에게는 경찰에 대한 꿈을 키워가는 교육의 장으로 자리매김하였습니다. 2021년 신청사로 이전하여 새로운 모습으로 탈바꿈한 경찰박물관은 최신 트렌드를 반영한 전시와 체험시설을 갖추고 국민과 경찰 사이를 연결하는 소통의 창이 되고자 합니다. 새문안 동네의 식당으로 운영되던 건물들을 활용하여 새롭게 조성한 문화공간 돈의문은 서울 도성의 서쪽 문으로, 흔히 ‘서대문’이라고 불리며 1915년 3월 도로 확장공사를 위해 철거되었습니다.",https://korean.visitseoul.net/attractions/%EA%B2%BD%EC%B0%B0%EB%B0%95%EB%AC%BC%EA%B4%80/KOP020549,2025.07.23
KOP001159,고궁,경희궁,37.570082007,126.96871673,03177 서울 종로구 새문안로 45 (경희궁),https://museum.seoul.go.kr/www/intro/annexIntro/annex_20/annex_20_01.jsp?sso=ok,02-724-0274,09:00 - 18:00,"월요일, 1월 1일",무료,"경희궁은 본래 인조의 아버지인 정원군의 집이었으나, 그 터에 왕기가 서려 있다는 말이 돌자 광해군이 이를 몰수해 궁궐을 지었습니다. 건립 당시만 1500칸에 이르는 대궐이었던 경희궁은 일제강점기를 거치며 가장 철저하게 파괴됐습니다. 일사늑약(을사조약)이 강제 체결되고 경성중학교가 들어서면서부터입니다. 또한 경희궁 터에는 전매국 관시를 지었고 전각들도 대부분 팔아버렸습니다. 1988년 복원 작업에 착수한 후에야 몇몇 전각의 이전 작업이 추진되었습니다. 경희궁의 흥화문도 이때 복원했습니다. 경희궁의 정전인 숭정전, 국왕이 공무를 수행하던 자정전과 영조의 어진을 보관하던 태령전도 새로이 복원했습니다. 경희궁은 2002년 일반인들에게 개방한 뒤로 다시금 나이를 먹어가고 있습니다. 어떤 모습으로 옛 위상을 회복할지 관심을 가지고 지켜봐야 할 우리의 문화 유산입니다.",https://korean.visitseoul.net/attractions/%EA%B2%BD%ED%9D%AC%EA%B6%81/KOP001159,2025.08.01
KOP006924,미술관&박물관,경희대학교 중앙박물관,37.597037209,127.053129133,02447 서울특별시 동대문구 경희대로 26 경희대학교 서울캠퍼스 중앙도서관 4층,http://museum.khu.ac.kr,02-961-0141,10:00~17:00,-주말 -공휴일,,"경희대학교 중앙박물관의 외관입니다. 회색 석조건물이며 서구식 양식을 갖추고 있습니다. 건물 주변으로 나무들이 둘러싸고 있습니다. 경희대학교 중앙박물관은 경희대학교 부속 박물관으로 1955년 설립되었습니다. 주로 주먹도끼, 빗살무늬토기 등 고고·역사 유물을 전시하며 국내 최초의 시베리아 전시시설을 운영합니다. 이용요금은 무료입니다. 정기문화답사와 초청강연회 및 문화포럼 등의 프로그램도 운영합니다.",https://korean.visitseoul.net/attractions/%EA%B2%BD%ED%9D%AC%EB%8C%80%ED%95%99%EA%B5%90-%EC%A4%91%EC%95%99%EB%B0%95%EB%AC%BC%EA%B4%80/KOP006924,2025.07.20
